,author_name,book_average_rating,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
7,Mary Roach,3.84,5981308,Bonk: The Curious Coupling of Science and Sex,Nonfiction,Science,45963,4268,319,2008,2054
70,Joanna Chambers,4.34,34969217,Enlightened,Historical,Romance,1747,299,184,2014,6842
102,Thomas More,3.52,18414,Utopia,Classics,Philosophy,51734,2310,135,1516,19338
107,Franz Kafka,3.99,17690,The Trial,Classics,Fiction,190319,5836,255,1925,28474
120,H.G. Wells,3.88,2493,The Time Machine,Classics,Science Fiction,349223,8865,118,May 7th 1895,62021
129,Daphne du Maurier,4.22,17899948,Rebecca,Classics,Fiction,376064,18329,449,August 1938,15851
136,Louisa May Alcott,4.05,1934,Little Women,Classics,Fiction,1454495,19863,449,September 30th 1868,22491
138,Tatiana de Rosnay,4.15,556602,Sarah's Key,Historical,Fiction,376397,27783,294,September 2006,23521
139,Betty  Smith,4.25,14891,A Tree Grows in Brooklyn,Classics,Fiction,338396,17870,496,1943,23554
140,Sylvia Plath,3.99,6514,The Bell Jar,Classics,Fiction,500687,18796,294,January 1963,29714
148,Mitch Albom,4.09,6900,Tuesdays with Morrie,Nonfiction,Autobiography,671940,21928,210,1997,37739
153,Greg Mortenson,3.64,49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Nonfiction,Autobiography,307246,21963,349,March 2nd 2006,53833
154,Ken Follett,4.3,5043,The Pillars of the Earth,Historical,Fiction,564581,28541,973,October 1989,53864
155,Philippa Gregory,4.05,37470,The Other Boleyn Girl,Historical,Fiction,421981,16343,661,2001,58143
185,Paullina Simons,4.32,41014505,The Bronze Horseman,Historical,Romance,55818,6844,637,2001,23834
191,Margaret Mitchell,4.29,18405,Gone with the Wind,Classics,Historical,979786,17659,1037,June 30th 1936,62047
210,Jessica Spotswood,4.12,16101026,Star Cursed,Historical,Fantasy,6138,836,384,June 6th 2013,11148
270,Stacey  Lee,3.98,22501055,Under a Painted Sky,Historical,Young Adult,6224,1341,384,2015,5829
407,Bram Stoker,3.99,17245,Dracula,Classics,Horror,790797,20467,488,1897,84252
409,Laurie Halse Anderson,4.1,3002300,Chains,Historical,Young Adult,41362,4876,316,2008,2125
412,Nicholson Baker,3.98,1948985,"Human Smoke: The Beginnings of World War II, the End of Civilization",History,Nonfiction,1422,265,576,2008,2250
417,Chris Bohjalian,4.0,2017056,Skeletons at the Feast,Historical,Fiction,22350,2330,372,2008,2648
420,Jen Lancaster,4.07,2202049,"Such a Pretty Fat: One Narcissist's Quest to Discover If Her Life Makes Her Ass Look Big, or Why Pie Is Not the Answer",Nonfiction,Womens Fiction,26588,1947,400,May 1st 2008,3109
421,Lily Koppel,3.39,1704570,The Red Leather Diary: Reclaiming a Life Through the Pages of a Lost Journal,Nonfiction,Biography,3060,632,320,2008,3124
425,Alison Weir,3.97,1933181,The Lady Elizabeth,Historical,Historical,22855,1219,483,2008,3619
426,Sloane Crosley,3.45,2195289,I Was Told There'd Be Cake,Nonfiction,Humor,33247,3831,230,2008,3673
431,Kathleen Kent,3.77,3181953,The Heretic's Daughter,Historical,Fiction,30157,3842,332,2008,3914
437,Malcolm Gladwell,4.13,3228917,Outliers: The Story of Success,Nonfiction,Psychology,420533,21703,309,2008,4714
442,Michael Pollan,4.08,315425,In Defense of Food: An Eater's Manifesto,Nonfiction,Food and Drink,93069,7365,205,2002,5682
443,Hillary Jordan,4.02,2138727,Mudbound,Historical,Fiction,57481,5670,328,January 1st 2008,6380
452,Vicki Myron,3.87,3257136,Dewey: The Small-Town Library Cat Who Touched the World,Nonfiction,Animals,46930,5812,277,2008,10497
