,author_name,book_average_rating,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
2,Mimi Jean Pamfiloff,3.99,27833684,Tailored for Trouble,Romance,Contemporary,2151,391,354,2016,4585
7,Mary Roach,3.84,5981308,Bonk: The Curious Coupling of Science and Sex,Nonfiction,Science,45963,4268,319,2008,2054
12,Lisa Kleypas,4.25,114166,Devil in Winter,Romance,Romance,48639,3046,368,2006,7874
15,Sandrine Gasq-Dion,4.32,21922133,Dirty Ross,Romance,Fantasy,1078,85,284,April 7th 2014,2246
16,Jamie Fessenden,3.78,20744130,Screwups,Romance,Academic,480,107,204,March 6th 2014,2323
17,Zarah Detand,4.22,20816370,Pull Me Under,Romance,Sports and Games,1279,175,359,2014,2373
18,Kendall McKenna,4.25,18221995,Strength of the Mate,Romance,War,1374,166,356,2014,2374
19,Rhys Ford,4.25,40983132,Tequila Mockingbird,Romance,Contemporary,2285,295,250,June 26th 2014,2383
21,Sam B. Morgan,3.83,19462578,Slow Burn,Romance,Contemporary,1177,167,197,2014,2428
22,Adrienne Wilder,4.25,22399098,Complementary Colors,Romance,Sociology,1608,313,320,June 19th 2014,2459
23,Kate Sherwood,4.01,20522718,Mark of Cain,Romance,Contemporary,1076,192,338,2014,2459
24,Piper Vaughn,3.68,21399149,"Wood, Screws, & Nails",Romance,Contemporary,1365,266,166,April 22nd 2014,2672
25,Nick Pageant,3.73,22052456,Beauty And The Bookworm,Romance,Romance,2067,541,107,2014,2724
26,K.A. Mitchell,3.55,18742420,Bad Influence,Romance,Contemporary,991,155,295,2014,2807
27,Sarina Bowen,4.17,22701480,The Understatement of the Year,Romance,New Adult,8197,1117,300,September 29th 2014,2834
28,Cat Grant,3.84,18400295,The Only One Who Knows,Romance,War,892,140,220,2014,2875
29,L.A. Witt,3.9,19292809,Payoff,Romance,Romance,815,173,47,February 1st 2014,2885
31,K.C. Wells,4.0,20653710,Personal Secrets,Romance,Contemporary,819,96,285,February 10th 2014,2961
32,Indra Vaughn,3.83,20529031,The House on Hancock Hill,Romance,Contemporary,405,111,220,February 6th 2014,2995
33,Rob Colton,3.99,20937536,Timber Pack Chronicles,Romance,Fantasy,1848,218,252,January 1st 2011,3126
34,K.J. Charles,4.09,20880073,Remnant: A Caldwell & Feximal/Whyborne & Griffin Mystery,Romance,Historical,1248,224,51,2014,3145
35,Leta Blake,3.91,22034261,The River Leith,Romance,Contemporary,1291,301,173,2014,3172
36,Perie Wolford,3.86,34661269,Turning 16,Romance,Young Adult,954,162,163,February 19th 2014,3198
37,Heidi Cullinan,3.83,18170925,Tough Love,Romance,Erotica,1196,234,312,2014,3326
38,Veronica Sloane,3.99,21887834,Stories Beneath Our Skin,Romance,Contemporary,891,206,210,2014,3343
39,Amy Lane,4.47,22735684,Beneath the Stain,Romance,Romance,1913,427,350,August 29th 2014,3385
40,Josh Lanyon,4.16,21880559,Fair Play,Romance,Mystery,2713,370,199,2014,3468
41,Ais,4.39,20927491,1/27: An ICoS Anthology,Romance,Science Fiction,1188,212,109,2014,3490
42,Tara Lain,3.86,20798492,Wolf in Gucci Loafers,Romance,Fantasy,1011,139,235,April 15th 2014,3495
43,Jordan L. Hawk,4.45,23202149,Bloodline,Romance,Historical,2531,375,244,September 26th 2014,3557
44,Nicola Haken,3.85,20622081,Being Sawyer Knight,Romance,Romance,2813,380,316,2014,3561
45,Alexa Land,4.16,21965631,Salvation,Romance,Contemporary,1267,105,284,2014,3609
46,Charlie Cochet,4.38,22714908,Rack & Ruin,Romance,Fantasy,4514,599,206,2014,3620
47,Mary Calmes,3.84,20822778,Control,Romance,Fantasy,1791,255,220,April 17th 2014,3686
48,Diane  Adams,4.05,18630973,Last First Kiss,Romance,Contemporary,807,145,275,January 17th 2014,3753
49,Jaime Reese,4.19,15712796,A Hunted Man,Romance,Contemporary,2243,298,379,April 27th 2014,3822
50,Keira Andrews,4.19,22913988,A Forbidden Rumspringa,Romance,Romance,2337,514,231,August 31st 2014,3949
51,Jay Northcote,3.76,42181544,Not Just Friends,Romance,Contemporary,1618,241,200,February 23rd 2014,4000
52,Lane Hayes,3.99,20338332,Better Than Chance,Romance,Contemporary,1721,227,200,January 21st 2014,4065
53,Renae Kaye,4.23,23004152,The Shearing Gun,Romance,Contemporary,2174,394,214,September 14th 2014,4195
54,Garrett Leigh,4.02,42432382,Only Love,Romance,War,1866,329,274,April 10th 2014,4281
55,John  Wiltshire,4.05,22241361,Love is a Stranger,Romance,War,1444,325,296,May 2014,4339
56,N.R. Walker,4.39,22957237,Red Dirt Heart 2,Romance,Romance,2829,445,352,2014,4459
57,S.E. Harmon,3.91,21840816,Stay with Me,Romance,Contemporary,2403,365,290,2014,4496
58,A.E. Via,3.94,25784634,Nothing Special,Romance,Romance,3807,498,255,2014,4510
59,Jay Bell,4.52,20652686,Something Like Spring,Romance,Lgbt,1717,197,452,2014,5060
60,Jordan Castillo Price,4.35,20803627,Forget Me Not,Romance,Science Fiction,778,176,171,February 18th 2014,5163
61,Nicole Edwards,4.46,17305049,Ethan,Romance,Adult Fiction,6554,708,688,2014,5280
62,A.J.  Rose,4.31,18809288,Queers,Romance,Contemporary,345,81,423,January 29th 2014,5349
63,Mercy Celeste,4.05,18240522,Offside Chance,Romance,Sports and Games,1805,182,265,January 1st 2014,5535
64,J.L. Merrow,3.97,18989149,Relief Valve,Romance,Mystery,1879,280,357,2014,5553
65,Eli Easton,4.15,22370569,The Mating of Michael,Romance,Disability,2682,493,240,June 29th 2014,5704
66,Anyta Sunday,4.21,23153351,rock,Romance,Romance,4675,940,251,September 30th 2014,5669
67,Amelia C. Gormley,3.88,18460726,Strain,Romance,Erotica,1636,296,375,February 15th 2014,6073
68,Lisa Henry,3.97,18586923,When All the World Sleeps,Romance,Erotica,2049,395,340,March 22nd 2014,6239
69,Kade Boehme,3.78,20645398,Trouble & the Wallflower,Romance,Romance,2428,396,200,February 27th 2014,6595
71,Nick Wilgus,3.89,20528976,Shaking the Sugar Tree,Romance,Contemporary,1375,297,304,January 30th 2014,7241
72,S.E. Jakes,4.3,20699996,Daylight Again,Romance,War,2530,322,265,May 2nd 2014,9168
73,Kindle Alexander,4.28,18698511,Full Disclosure,Romance,Romance,4995,692,350,September 12th 2014,10513
74,T.J. Klune,4.43,20624305,The Art of Breathing,Romance,Romance,3873,568,350,June 15th 2014,10532
75,Ella Frank,4.45,17798654,Take,Romance,Romance,10847,1356,346,July 7th 2014,15172
76,Abigail Roux,4.11,17736067,Ball & Chain,Romance,Romance,6833,1009,288,March 9th 2014,16237
87,Stephen King,3.65,10567,Cell,Horror,Fiction,171440,5347,449,2006,12874
93,Richard Bachman,3.86,11607,The Running Man,Horror,Fiction,84322,2464,317,May 1st 1982,15620
96,Robert R. McCammon,4.28,11557,Swan Song,Horror,Fiction,48928,2900,956,1987,16488
122,Max Brooks,4.01,8908,World War Z: An Oral History of the Zombie War,Horror,Fiction,380355,23651,342,2006,90544
133,Jane Austen,4.55,14905,The Complete Novels,Romance,Classics,23605,618,1344,January 28th 1813,19609
148,Mitch Albom,4.09,6900,Tuesdays with Morrie,Nonfiction,Autobiography,671940,21928,210,1997,37739
153,Greg Mortenson,3.64,49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Nonfiction,Autobiography,307246,21963,349,March 2nd 2006,53833
