,author_name,book_average_rating,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
1,Stieg Larsson,4.13,2429135,The Girl with the Dragon Tattoo,Fiction,Mystery,2229163,65227,465,August 2005,3062
3,José Donoso,4.14,382975,The Obscene Bird of Night,Fiction,Magical Realism,1844,173,438,1970,1533
4,Patricia C. Wrede,4.01,64207,Sorcery & Cecelia: or The Enchanted Chocolate Pot,Fantasy,Young Adult,17051,1890,326,April 15th 1988,2105
10,Brandon Sanderson,4.28,15704459,Firefight,Fantasy,Young Adult,65071,5161,416,2015,4347
11,K.L. Armstrong,3.84,11438693,Loki's Wolves,Fantasy,Fantasy,6739,825,358,2013,7818
14,Aldous Huxley,3.86,5130,Island,Fiction,Classics,19914,1224,354,1962,8460
20,Megan Derr,3.87,17900911,Of Last Resort,Fantasy,Romance,1138,112,235,July 24th 2013,2388
30,Amy Rae Durreson,4.04,19547844,Reawakening,Fantasy,Romance,702,108,260,January 16th 2014,2906
78,Sheri S. Tepper,4.05,104344,The Gate to Women's Country,Science Fiction,Fiction,11188,684,315,November 1st 1987,9019
79,Eoin Colfer,3.85,45432,The Supernaturalist,Fantasy,Young Adult,25766,1115,267,2004,9507
80,Robert A. Heinlein,3.91,350,Stranger in a Strange Land,Science Fiction,Fiction,249232,7108,528,July 1st 1961,9765
82,William F. Nolan,3.67,73654,Logan's Run,Science Fiction,Science Fiction,9089,519,149,1967,10110
83,Kurt Vonnegut,3.86,9597,Player Piano,Fiction,Science Fiction,40978,1638,341,1952,10923
84,Larry Niven,3.99,218467,Lucifer's Hammer,Science Fiction,Fiction,37006,1285,629,1977,11779
85,George R. Stewart,3.96,93269,Earth Abides,Science Fiction,Apocalyptic,21287,1678,345,1949,12052
86,Pierre Boulle,3.93,414895,Planet of the Apes,Science Fiction,Fiction,28780,1229,268,1963,12441
88,Philip K. Dick,4.03,14817,A Scanner Darkly,Science Fiction,Fiction,73071,2644,219,January 1977,13401
89,Jasper Fforde,4.14,2113260,Shades of Grey,Fantasy,Fiction,29545,3900,400,November 6th 2009,13447
90,Neal Stephenson,4.19,827,"The Diamond Age: Or, A Young Lady's Illustrated Primer",Science Fiction,Fiction,73645,3109,499,February 1995,14263
92,Pierce Brown,4.27,15839976,Red Rising,Science Fiction,Fantasy,179802,20262,382,2014,15576
94,Ray Bradbury,4.13,76778,The Martian Chronicles,Science Fiction,Fiction,179545,6240,182,1950,16186
95,Joe Haldeman,4.15,21611,The Forever War,Science Fiction,Fiction,118635,5080,278,December 1974,16218
97,Nevil Shute,3.93,38180,On the Beach,Fiction,Science Fiction,30836,2135,296,July 1957,16550
98,David Brin,3.88,889284,The Postman,Science Fiction,Fiction,28359,1154,321,1985,16859
99,Emily St. John Mandel,4.03,20170404,Station Eleven,Fiction,Science Fiction,241011,29749,336,2014,17354
100,Pat Frank,4.07,38169,"Alas, Babylon",Fiction,Science Fiction,34925,2870,323,1959,18073
101,John Wyndham,3.92,826845,The Chrysalids,Science Fiction,Fiction,37299,1821,200,1955,18585
103,Ann Aguirre,3.92,7137327,Enclave,Science Fiction,Young Adult,61672,4920,259,2011,21519
104,Octavia E. Butler,4.15,52397,Parable of the Sower,Science Fiction,Fiction,38838,3853,345,October 1993,22363
106,Ursula K. Le Guin,4.2,13651,The Dispossessed,Science Fiction,Fiction,68558,4150,387,May 1974,26539
110,Ayn Rand,3.68,662,Atlas Shrugged,Fiction,Classics,324357,15864,1168,1957,32573
111,P.D. James,3.68,41913,The Children of Men,Fiction,Science Fiction,35286,2698,241,1992,33515
112,William Gibson,3.89,888628,Neuromancer,Science Fiction,Fiction,227841,7733,271,1984,34464
113,Walter M. Miller Jr.,3.98,164154,A Canticle for Leibowitz,Science Fiction,Fiction,80722,4083,335,October 1959,35396
114,José Saramago,4.1,40495148,Blindness,Fiction,Science Fiction,158230,12971,326,1995,39660
115,Yevgeny Zamyatin,3.94,76171,We,Fiction,Science Fiction,56166,3559,255,1921,47660
118,Koushun Takami,4.25,57891,Battle Royale,Fiction,Science Fiction,46082,4365,617,1999,52756
121,Hugh Howey,4.24,13453029,Wool Omnibus,Science Fiction,Fiction,139515,12782,509,2012,64630
123,Margaret Atwood,4.01,46756,Oryx and Crake,Fiction,Science Fiction,190952,11814,389,April 22nd 2003,95619
124,Kazuo Ishiguro,3.81,6334,Never Let Me Go,Fiction,Science Fiction,387813,26591,288,April 5th 2005,97093
127,Cornelia Funke,3.96,100464,Dragon Rider,Fantasy,Fantasy,73386,2272,527,February 1st 1997,15248
128,J.K. Rowling,4.74,862041,Harry Potter Series Box Set,Fantasy,Young Adult,224432,6881,4100,2007,15445
134,Jodi Picoult,3.97,3720975,Handle with Care,Fiction,Contemporary,103721,7833,453,2009,21020
135,Kate Jacobs,3.42,17204,The Friday Night Knitting Club,Fiction,Womens Fiction,67913,8366,352,2006,22134
141,Douglas Adams,4.38,13,The Ultimate Hitchhiker's Guide to the Galaxy,Science Fiction,Fiction,255070,4753,815,January 17th 1996,29784
142,Amy Tan,3.91,7763,The Joy Luck Club,Fiction,Historical,557277,7732,288,1989,30751
143,Bernhard Schlink,3.74,101299,The Reader,Fiction,Historical,154045,9271,216,1995,32634
144,Melissa Marr,3.69,305234,Wicked Lovely,Fantasy,Young Adult,141076,6818,328,2007,34825
145,Christopher Paolini,3.97,45978,Eldest,Fantasy,Young Adult,302289,8841,704,August 23rd 2005,34913
146,Cormac McCarthy,3.96,6288,The Road,Fiction,Science Fiction,623609,41764,241,2006,36045
149,J.R.R. Tolkien,4.52,18512,The Return of the King,Fantasy,Fiction,573454,7900,490,October 20th 1955,40399
150,Dan Brown,3.69,6411961,The Lost Symbol,Fiction,Mystery,458068,25603,509,2009,42433
