,author_name,book_average_rating,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
4,Patricia C. Wrede,4.01,64207,Sorcery & Cecelia: or The Enchanted Chocolate Pot,Fantasy,Young Adult,17051,1890,326,April 15th 1988,2105
10,Brandon Sanderson,4.28,15704459,Firefight,Fantasy,Young Adult,65071,5161,416,2015,4347
11,K.L. Armstrong,3.84,11438693,Loki's Wolves,Fantasy,Fantasy,6739,825,358,2013,7818
20,Megan Derr,3.87,17900911,Of Last Resort,Fantasy,Romance,1138,112,235,July 24th 2013,2388
30,Amy Rae Durreson,4.04,19547844,Reawakening,Fantasy,Romance,702,108,260,January 16th 2014,2906
79,Eoin Colfer,3.85,45432,The Supernaturalist,Fantasy,Young Adult,25766,1115,267,2004,9507
89,Jasper Fforde,4.14,2113260,Shades of Grey,Fantasy,Fiction,29545,3900,400,November 6th 2009,13447
127,Cornelia Funke,3.96,100464,Dragon Rider,Fantasy,Fantasy,73386,2272,527,February 1st 1997,15248
128,J.K. Rowling,4.74,862041,Harry Potter Series Box Set,Fantasy,Young Adult,224432,6881,4100,2007,15445
144,Melissa Marr,3.69,305234,Wicked Lovely,Fantasy,Young Adult,141076,6818,328,2007,34825
145,Christopher Paolini,3.97,45978,Eldest,Fantasy,Young Adult,302289,8841,704,August 23rd 2005,34913
149,J.R.R. Tolkien,4.52,18512,The Return of the King,Fantasy,Fiction,573454,7900,490,October 20th 1955,40399
161,Gena Showalter,4.08,476543,The Darkest Night,Fantasy,Romance,70552,3161,379,2008,8942
180,Shelly Crane,4.12,35534230,Significance,Fantasy,Young Adult,39913,2772,387,,17211
199,Ellen Oh,3.45,10129062,Prophecy,Fantasy,Young Adult,3448,539,316,2013,8080
205,Kiersten White,3.6,12578305,The Chaos of Stars,Fantasy,Young Adult,7591,1234,277,2013,11016
211,Tara Hudson,3.91,11413298,Elegy,Fantasy,Young Adult,2432,215,386,2013,11325
213,Jennifer A. Nielsen,4.23,15703770,The Runaway King,Fantasy,Young Adult,30614,3264,331,2013,11846
224,Kendare Blake,3.66,13246736,Antigoddess,Fantasy,Young Adult,7323,1268,333,2013,16795
227,Anna Banks,3.99,15513156,Of Triton,Fantasy,Young Adult,22094,1913,246,2013,17212
