,author_name,book_average_rating,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
233,Rae Carson,4.21,11431896,The Bitter Kingdom,Fantasy,Young Adult,31595,2631,433,April 14th 2013,20405
237,Victoria Schwab,4.01,10929432,The Archived,Fantasy,Young Adult,21035,3903,321,2013,22850
241,Robin LaFevers,4.14,9943270,Dark Triumph,Fantasy,Young Adult,34529,3256,385,2013,27226
246,Jodi Meadows,3.96,13043180,Asunder,Fantasy,Young Adult,7263,784,406,2013,30360
247,A.G. Howard,3.95,12558285,Splintered,Fantasy,Young Adult,46323,7172,400,2013,30766
248,Aimee Carter,3.97,10838776,The Goddess Inheritance,Fantasy,Young Adult,18080,1480,303,January 1st 2013,32374
251,Cassandra Clare,3.71,13583766,Shadowhunters and Downworlders: A Mortal Instruments Reader,Fantasy,Young Adult,5258,487,198,2013,34746
254,Leigh Bardugo,4.07,14061955,Siege and Storm,Fantasy,Young Adult,123825,13410,435,2013,45787
256,Sarah J. Maas,4.47,17167166,Crown of Midnight,Fantasy,Young Adult,247678,23720,418,August 15th 2013,48597
257,Josephine Angelini,4.24,7849034,Goddess,Fantasy,Fantasy,26230,1916,421,March 1st 2013,48924
264,Alethea Kontis,3.85,17155793,Dearest,Fantasy,Young Adult,2076,293,320,2015,5153
269,Lori  Goldstein,3.55,22718738,Becoming Jinn,Fantasy,Young Adult,1135,255,384,2015,5786
271,Elizabeth May,4.16,26797462,The Vanishing Throne,Fantasy,Young Adult,4534,679,362,2015,6245
272,Morgan Rhodes,3.97,22571365,A Book of Spirits and Thieves,Fantasy,Young Adult,4181,761,359,2015,6333
273,Betsy Cornwell,3.6,40963299,Mechanica,Fantasy,Science Fiction,3985,871,304,2015,6431
278,Colleen Houck,3.83,17331819,Reawakened,Fantasy,Young Adult,7389,1318,400,2015,7704
279,Becky  Wallace,3.83,18488433,The Storyspinner,Fantasy,Young Adult,4228,569,432,2015,8556
280,Sherry Thomas,4.11,17410991,The Immortal Heights,Fantasy,Young Adult,5236,643,432,2015,8641
282,Rhiannon Thomas,3.3,22535481,A Wicked Thing,Fantasy,Young Adult,3697,742,337,2015,8889
285,Rachel Caine,3.96,20643052,Ink and Bone,Fantasy,Young Adult,17482,3461,352,2015,9946
288,Danielle L. Jensen,3.89,21851568,Hidden Huntress,Fantasy,Young Adult,8024,889,464,2015,10385
292,Virginia Boecker,3.82,18190208,The Witch Hunter,Fantasy,Young Adult,8851,1508,362,2015,11281
294,Sara B. Larson,3.95,17928184,Ignite,Fantasy,Young Adult,9794,752,304,2014,11641
297,Maria Dahvana Headley,3.57,21393526,Magonia,Fantasy,Young Adult,15848,3231,309,2015,13551
298,Melinda Salisbury,3.47,21936988,The Sin Eater’s Daughter,Fantasy,Young Adult,13198,2474,336,2015,16826
299,Amanda Hocking,3.84,18105451,Frostfire,Fantasy,Young Adult,12716,1495,321,2015,18493
301,Melissa Grey,3.74,20345202,The Girl at Midnight,Fantasy,Young Adult,8166,1725,357,2015,20496
305,Rachel Hartman,3.74,16085457,Shadow Scale,Fantasy,Young Adult,14694,2397,602,2015,27339
306,Sara Raasch,3.77,17404295,Ice Like Fire,Fantasy,Young Adult,16676,2375,479,2015,39128
308,Renée Ahdieh,4.16,18798983,The Wrath and the Dawn,Fantasy,Young Adult,87639,14434,404,2015,51409
309,Rainbow Rowell,4.22,32768522,Carry On,Fantasy,Young Adult,129791,19549,522,2015,59136
310,Marie Rutkoski,4.15,20443207,The Winner's Crime,Fantasy,Young Adult,46539,6609,416,2015,70676
311,Victoria Aveyard,4.07,22328546,Red Queen,Fantasy,Young Adult,418957,37392,383,2015,187627
315,Michelle Zink,3.55,5271066,Prophecy of the Sisters,Fantasy,Young Adult,14394,1510,343,2009,2085
317,S.S. Segran,3.85,22500587,Aegis Rising,Fantasy,Young Adult,439,82,448,November 6th 2013,2186
318,J.S. Burke,4.82,32598789,Dragon Lightning,Fantasy,Fantasy,78,56,264,2016,2462
320,Kristin Cashore,4.01,12680907,Bitterblue,Fantasy,Young Adult,88575,7565,576,2012,2631
321,Carolyn Crane,3.49,6890220,Mind Games,Fantasy,Fantasy,8161,1004,371,2010,2861
322,Ilona Andrews,4.03,6329547,On the Edge,Fantasy,Fantasy,32721,2380,340,2009,2914
323,Stacia Kane,3.63,6261189,Unholy Ghosts,Fantasy,Fantasy,13816,1634,339,2010,3002
324,C.S. Lewis,4.03,65605,The Magician's Nephew,Fantasy,Classics,344336,10418,221,May 2nd 1955,3109
325,Jacqueline Carey,4.04,153008,Kushiel's Dart,Fantasy,Romance,63071,3729,1015,June 23rd 2001,3117
329,William  O'Brien,4.42,10100824,Peter: A Darkened Fairytale,Fantasy,Fantasy,136,86,148,March 17th 2011,4502
331,Catherine Fisher,3.64,332775,Incarceron,Fantasy,Young Adult,54226,5226,458,2007,5188
334,Lili St. Crow,3.78,6006518,Strange Angels,Fantasy,Young Adult,37483,2141,293,2009,7490
335,Sophie Jordan,3.87,6448470,Firelight,Fantasy,Young Adult,56984,4499,323,2010,8084
336,Shannon Hale,4.02,85990,Princess Academy,Fantasy,Young Adult,92848,8181,314,2005,8215
339,Gail Carson Levine,3.98,24337,Ella Enchanted,Fantasy,Young Adult,363754,9343,232,1997,15799
343,Tim Powers,3.79,417656,The Stress of Her Regard,Fantasy,Horror,3670,330,470,1989,1369
345,Tanya Huff,3.78,338121,Smoke and Shadows,Fantasy,Fantasy,2911,161,396,2004,1432
348,Laurell K. Hamilton,4.16,30274,Circus of the Damned,Fantasy,Paranormal,83819,1517,320,1995,1509
350,C.S. Friedman,3.93,36159,Black Sun Rising,Fantasy,Science Fiction,16542,597,496,1991,1645
354,Rebecca Zanetti,3.94,8686057,Fated,Fantasy,Romance,9655,819,299,2011,1789
357,Sherrilyn Kenyon,4.22,6944032,Night Pleasures,Fantasy,Romance,66192,2597,309,2002,1878
360,Hideyuki Kikuchi,3.98,16599,Vampire Hunter D,Fantasy,Horror,3918,263,238,March 10th 1983,2022
361,Elizabeth   Hunter,4.04,24259392,A Hidden Fire,Fantasy,Romance,22103,1852,320,October 13th 2011,2196
364,Faith Hunter,3.9,5585788,Skinwalker,Fantasy,Fantasy,29112,1779,320,May 22nd 2009,2325
368,Jocelynn Drake,3.67,20564828,Nightwalker,Fantasy,Paranormal,9140,504,370,2008,2899
371,Barbara Hambly,3.83,176261,Those Who Hunt the Night,Fantasy,Horror,3922,293,350,1988,3401
374,Barb Hendee,3.8,413814,Dhampir,Fantasy,Paranormal,7073,417,376,2003,3605
376,Jennifer Rardin,3.71,937122,"Once Bitten, Twice Shy",Fantasy,Paranormal,11423,653,308,2007,3692
380,Charlie Huston,3.79,21277,Already Dead,Fantasy,Paranormal,9346,690,268,2005,4305
382,Karen Chance,4.0,3072254,Midnight's Daughter,Fantasy,Paranormal,17867,699,373,August 26th 2008,4792
384,Keri Arthur,3.89,172764,Full Moon Rising,Fantasy,Fantasy,29223,1320,372,January 31st 2006,5148
387,Terry Pratchett,4.14,34541,Carpe Jugulum,Fantasy,Fiction,46236,1092,296,1998,7807
389,Sergei Lukyanenko,3.98,359375,Night Watch,Fantasy,Fantasy,36934,2025,455,1998,8690
392,George R.R. Martin,3.85,382450,Fevre Dream,Fantasy,Horror,18933,1830,334,September 1982,11306
394,Chloe Neill,4.0,4447622,Some Girls Bite,Fantasy,Paranormal,54356,3274,341,2009,11706
397,Karen Marie Moning,4.12,112750,Darkfever,Fantasy,Fantasy,137506,9516,309,2006,14017
399,Deborah Harkness,3.99,8667848,A Discovery of Witches,Fantasy,Fiction,290944,29048,579,,14789
400,Kim Harrison,4.04,30264,Dead Witch Walking,Fantasy,Fantasy,102903,4531,416,April 1st 2004,15089
402,Patricia Briggs,4.18,71811,Moon Called,Fantasy,Fantasy,151855,7321,288,2006,17039
405,Charlaine Harris,3.96,301082,Dead Until Dark,Fantasy,Paranormal,468483,17510,292,2001,35268
408,Kathi Appelt,3.95,2768169,The Underneath,Fantasy,Childrens,9353,1766,320,2008,2118
413,Naomi Novik,4.03,891593,Victory of Eagles,Fantasy,Fantasy,16760,932,352,January 1st 2008,2466
433,Elizabeth C. Bunce,3.57,1743390,A Curse Dark as Gold,Fantasy,Young Adult,11623,1544,396,2008,4044
444,Jim Butcher,4.44,927979,Small Favor,Fantasy,Fantasy,84619,2183,420,2008,7023
449,Brandon Mull,4.27,2146957,Grip of the Shadow Plague,Fantasy,Young Adult,72451,3016,477,2008,9360
451,Mo Willems,4.36,1908511,The Pigeon Wants a Puppy!,Childrens,Childrens,20540,822,40,2008,9886
460,Rick Riordan,4.39,2120932,The Battle of the Labyrinth,Fantasy,Young Adult,600607,16005,361,2008,35348
566,Alison Croggon,4.0,393146,The Naming,Fantasy,Young Adult,22752,1468,492,January 1st 2002,2123
567,Rebecca Nolen,4.37,25224458,The Dry,Fantasy,Historical,130,34,252,November 12th 2013,2192
568,Katie Cross,3.98,25321022,Miss Mabel's School for Girls,Fantasy,Young Adult,2271,421,308,March 21st 2014,2499
569,Henry H. Neff,4.02,603515,The Hound of Rowan,Fantasy,Young Adult,11343,761,421,January 1st 2007,2518
570,Peter S. Beagle,4.18,29127,The Last Unicorn,Fantasy,Classics,87038,3909,294,1968,2538
571,James A. Owen,3.87,34908,"Here, There Be Dragons",Fantasy,Young Adult,10379,1012,326,2006,2630
572,Malcolm McCoard,4.79,35002208,Maya's Magical Adventures,Fantasy,Fiction,94,23,175,2017,2657
573,Marion Zimmer Bradley,4.12,40605251,The Mists of Avalon,Fantasy,Fiction,174694,6129,884,December 21st 1982,2712
574,Tamora Pierce,4.01,58889,Sandry's Book,Fantasy,Young Adult,35046,961,252,1997,2716
575,Paul Stewart,4.04,105657,Beyond the Deepwoods,Fantasy,Young Adult,12537,769,288,1998,2786
576,Dianne K. Salerni,4.03,18635086,The Eighth Day,Fantasy,Childrens,3259,561,320,2014,2792
577,P.B. Kerr,3.76,339026,The Akhenaten Adventure,Fantasy,Young Adult,17202,659,384,2004,3050
578,Mary  Stewart,4.13,82192,The Crystal Cave,Fantasy,Fiction,39205,1501,494,January 1st 1970,3119
580,Natalie Babbitt,3.87,84981,Tuck Everlasting,Fantasy,Young Adult,199810,8135,139,1975,3718
581,T.H. White,3.91,316845,The Sword in the Stone,Fantasy,Classics,21490,767,352,1938,3858
583,Anne McCaffrey,4.25,28541,Dragonsong,Fantasy,Science Fiction,42973,1277,192,March 1976,4643
585,Edward Eager,3.95,225038,Half Magic,Fantasy,Childrens,33023,1416,192,1954,4758
587,David Eddings,4.16,44659,Pawn of Prophecy,Fantasy,Fiction,83260,2599,304,March 12th 1982,5201
588,Tony DiTerlizzi,3.89,444304,The Field Guide,Fantasy,Childrens,70658,2927,112,2003,5576
589,Roald Dahl,4.3,39988,Matilda,Childrens,Fiction,508838,13336,240,October 1st 1988,6167
591,Megan Whalen Turner,3.9,448873,The Thief,Fantasy,Young Adult,54217,6317,280,1996,6241
592,Robert Jordan,4.19,228665,The Eye of the World,Fantasy,Fiction,318812,9570,814,January 15th 1990,6483
593,Frank Beddor,3.93,44170,The Looking Glass Wars,Fantasy,Young Adult,39993,3690,364,September 1st 2004,7149
594,Garth Nix,3.78,47613,Mister Monday,Fantasy,Young Adult,32951,1395,384,July 1st 2003,7736
595,Brian Jacques,4.12,7996,Redwall,Fantasy,Young Adult,92618,3303,352,1986,8027
597,Diane Duane,3.82,116563,So You Want to Be a Wizard,Fantasy,Young Adult,24323,1072,323,1983,9291
598,Jenny Nimmo,3.81,9475,Midnight for Charlie Bone,Fantasy,Young Adult,36604,1792,416,January 2002,10056
599,Michael Ende,4.18,27712,The Neverending Story,Fantasy,Classics,138246,5187,396,1979,10762
600,Lloyd Alexander,4.0,24780,The Book of Three,Fantasy,Young Adult,64260,2761,190,March 12th 1964,11260
601,John Flanagan,4.22,60400,The Ruins of Gorlan,Fantasy,Young Adult,104505,6785,249,January 1st 2004,12357
603,Patrick Rothfuss,4.55,186074,The Name of the Wind,Fantasy,Fiction,568698,34734,662,March 27th 2007,13781
604,William Goldman,4.26,21787,The Princess Bride,Fantasy,Fiction,695641,17611,398,1973,15196
606,Dave Barry,4.02,34262,Peter and the Starcatchers,Fantasy,Young Adult,63912,4626,452,January 9th 2004,15741
609,Michael Scott,3.84,17402605,The Alchemyst,Fantasy,Young Adult,124803,7756,390,May 22nd 2007,22449
611,Diana Wynne Jones,4.3,6294,Howl's Moving Castle,Fantasy,Young Adult,166533,11214,329,1986,24330
612,Madeleine L'Engle,4.02,33574273,A Wrinkle in Time,Fantasy,Fiction,832932,30487,211,1962,29378
613,Jonathan Stroud,4.01,334123,The Amulet of Samarkand,Fantasy,Young Adult,102634,4563,462,2003,29652
614,Angie Sage,3.81,769483,Magyk,Fantasy,Young Adult,98932,4733,564,March 15th 2005,31238
656,Jo Walton,3.69,8706185,Among Others,Fantasy,Fiction,19777,3862,304,2011,1745
660,Ransom Riggs,3.91,9460487,Miss Peregrine's Home for Peculiar Children,Fantasy,Young Adult,823366,57687,352,2011,1909
670,Milorad Pavić,4.16,321566,Dictionary of the Khazars (Male Edition),Fantasy,Historical,4834,334,354,1983,2738
690,John Crowley,3.83,90619,"Little, Big",Fantasy,Fiction,9094,1272,538,August 1981,6871
691,Helene Wecker,4.11,15819028,The Golem and the Jinni,Fantasy,Historical,83202,11252,486,April 1st 2013,7578
699,Erin Morgenstern,4.04,9361589,The Night Circus,Fantasy,Fiction,552271,61216,387,2011,20642
711,Darynda Jones,4.34,23848452,The Dirt on Ninth Grave,Fantasy,Fantasy,14572,1690,352,2016,5641
771,Philip Pullman,3.96,119322,The Golden Compass,Fantasy,Young Adult,1111103,17498,399,July 9th 1995,6646
848,Erin Hunter,4.43,336245,A Dangerous Path,Fantasy,Animals,32174,862,313,2005,1430
893,Susanna Clarke,3.82,14201,Jonathan Strange & Mr Norrell,Fantasy,Fiction,172360,12612,1006,September 8th 2004,27229
914,Margaret Wise Brown,4.27,32929,Goodnight Moon,Childrens,Childrens,269020,5188,32,September 3rd 1947,181550
917,Dr. Seuss,4.35,191139,"Oh, The Places You'll Go!",Childrens,Childrens,284709,4587,44,1990,262761
918,Maurice Sendak,4.22,19543,Where the Wild Things Are,Childrens,Childrens,716983,10578,37,April 19th 1963,285130
921,Shel Silverstein,4.37,370493,The Giving Tree,Childrens,Childrens,801232,15919,64,1964,598270
925,Astrid Lindgren,4.12,19302,Pippi Longstocking,Childrens,Classics,145802,3146,160,1945,106990
927,Norton Juster,4.21,378,The Phantom Tollbooth,Fantasy,Fiction,211144,8966,256,1961,160113
941,Terry Brooks,3.76,15575,The Sword of Shannara,Fantasy,Fiction,74977,3609,726,1977,3149
943,Jon Stone,4.44,44186,The Monster at the End of this Book,Childrens,Childrens,114336,2737,32,1971,3257
947,Judy Blume,4.1,37741,Tales of a Fourth Grade Nothing,Childrens,Fiction,124697,2402,144,1972,3894
949,Louis Sachar,4.15,15779,Sideways Stories from Wayside School,Childrens,Fiction,83162,2204,144,1978,3969
954,Arnold Lobel,4.19,537296,Frog and Toad Are Friends,Childrens,Childrens,77127,1230,64,August 26th 1970,4304
972,Jennifer Malone Wright,4.0,15738358,The Vampire Hunter's Daughter:  Complete Collection,Fantasy,Paranormal,1903,228,220,2012,1574
975,Ella James,4.05,18899392,Chosen,Fantasy,Paranormal,2434,79,211,2012,1783
978,Rue Volley,4.48,17562231,Menagerie of Mystery & Mayhem,Fantasy,See top shelves…,27,9,32,June 14th 2012,1954
979,Alexia Purdy,3.78,34857112,Ever Shade,Fantasy,Fantasy,3950,470,282,July 1st 2011,1890
980,Melissa Turner Lee,4.08,13742264,The Earth Painter,Fantasy,Young Adult,249,92,224,August 28th 2011,2033
982,Karen  Prince,4.17,18333130,Switch! The Lost Kingdoms of Karibu,Fantasy,Young Adult,472,73,274,by,2187
983,Christy Sloat,3.68,13412018,The Many Lives of Avery Snow,Fantasy,Romance,344,117,210,January 1st 2012,2201
985,A.K. Morgen,3.73,15830521,Fade,Fantasy,Fantasy,419,85,320,2012,2229
988,Krystal Wade,3.74,13539723,Wilde's Fire,Fantasy,Young Adult,738,174,324,2012,2385
990,Airicka Phoenix,3.72,15705572,Touching Smoke,Fantasy,Fantasy,2246,224,320,July 25th 2012,2895
991,Willow Cross,4.08,13622702,Afterlife,Fantasy,Fantasy,167,44,18,2012,2910
993,A.O. Peart,3.86,16094679,Forged by Greed,Fantasy,Young Adult,218,100,420,2012,3233
994,Jessica Sorensen,3.9,13560376,Ember,Fantasy,Romance,9730,841,337,August 28th 2012,3276
995,Nadège Richards,4.04,25134518,Burning Bridges,Fantasy,Romance,220,103,313,2012,3400
1001,Janet Lee Carey,3.89,11387458,Dragonswood,Fantasy,Young Adult,6549,668,407,2012,4838
1003,Amber Argyle,4.17,13496452,Witch Born,Fantasy,Young Adult,1141,145,330,August 10th 2012,4964
1006,Ruth Frances Long,3.81,11737311,The Treachery of Beautiful Things,Fantasy,Young Adult,5378,680,366,2012,7427
1009,Candace Knoebel,3.68,15796469,Born in Flames,Fantasy,Fantasy,757,152,259,September 1st 2012,9057
1010,C.J. Redwine,3.67,11410430,Defiance,Fantasy,Young Adult,25954,2535,403,2012,9643
1011,Melissa Andrea,3.77,15771912,Flutter,Fantasy,Young Adult,667,111,376,2012,16457
1015,S.M. Reine,3.71,22852541,Nine By Night,Fantasy,Fantasy,424,32,1630,July 31st 2014,300
1017,Patricia A. McKillip,4.23,19821,Riddle-Master,Fantasy,Fiction,9614,486,578,1976,348
1019,Ann M. Martin,3.85,38418,Baby-Sitters Club Boxed Set #1,Childrens,Young Adult,5296,101,0,1986,361
1021,Brent Weeks,4.43,6122735,The Night Angel Trilogy,Fantasy,Fiction,21414,543,1392,,378
1022,Rand Miller,4.31,61146,The Myst Reader: Three Books in One Volume,Fantasy,Fiction,1117,56,944,1995,388
1024,Mervyn Peake,3.99,39058,The Gormenghast Novels,Fantasy,Fiction,7731,570,1173,1959,421
1027,Darren Shan,4.35,164722,Vampire Rites Trilogy,Fantasy,Young Adult,2368,60,489,by,475
1029,Terry Goodkind,4.29,43888,"The Sword of Truth, Boxed Set I: Wizard's First Rule, Blood of the Fold, Stone of Tears",Fantasy,Fiction,4111,82,2480,1998,581
1035,Beverly Cleary,4.22,89543,"The Ramona Collection, Vol. 1:",Childrens,Fiction,5759,75,4,2013,918
1037,Roger Zelazny,4.3,5367,The Great Book of Amber,Fantasy,Fiction,22919,872,1258,,1043
1038,Anne Bishop,4.39,47953,"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness",Fantasy,Romance,11981,598,1204,2003,1229
1048,Lanie Bross,3.28,20769219,Fates,Fantasy,Young Adult,1615,296,336,2014,434
1049,Livia Blackburne,3.72,17566814,Midnight Thief,Fantasy,Young Adult,8906,912,376,2014,456
1051,Julie Harvey Delcourt,3.74,25064653,Rook and Raven,Fantasy,Historical,54,16,288,2014,485
1053,B.R. Maul,3.97,20418905,In the Land of Magnanthia,Fantasy,Adventure,111,29,479,2013,493
1054,Regan Claire,3.97,20693807,Gathering Water,Fantasy,Fantasy,661,101,222,January 25th 2014,494
1060,Christina  Farley,3.47,16173250,Gilded,Fantasy,Young Adult,4046,591,352,2014,608
1061,Jennifer Donnelly,3.83,18601430,Deep Blue,Fantasy,Young Adult,12993,1889,368,2014,625
1062,Vicki L. Weavil,3.52,32786586,Crown of Ice,Fantasy,Young Adult,769,133,242,2014,644
1063,Vanessa Garden,3.81,31408305,Captivate,Fantasy,Young Adult,1428,225,294,2014,655
1065,Luca  Rossi,3.77,21538656,The Branches of Time,Fantasy,Science Fiction,553,199,148,March 21st 2014,689
1070,Amalia Dillin,3.81,20550841,Honor Among Orcs,Fantasy,Romance,420,70,370,March 27th 2014,700
1074,S.L. Duncan,3.8,18397323,The Revelation of Gabriel Adam,Fantasy,Young Adult,98,19,384,July 21st 2014,788
1076,Stormy Smith,3.81,21957948,Bound by Duty,Fantasy,Fantasy,2892,402,390,July 23rd 2014,793
1080,AdriAnne Strickland,3.87,17605075,Wordless,Fantasy,Young Adult,298,61,336,August 1st 2014,871
1081,Bryen O'Riley,4.5,20888519,"The Stone (Chronicles of Quat, #1)",Fantasy,See top shelves…,22,5,296,2014,881
1085,Ilsa J. Bick,3.25,13449631,White Space,Fantasy,Young Adult,1403,376,560,2014,963
1090,Melissa Petreshock,3.53,18685332,Fire of Stars and Dragons,Fantasy,New Adult,323,64,224,2014,1196
1094,Carina King,3.7,13551358,Trail of Shadows and Blood,Fantasy,Fantasy,77,6,450,2014,1328
1095,T.J. Dixon,3.76,27809268,Peter of the Wind,Fantasy,Fantasy,378,23,316,2014,1494
1100,Karen  Lynch,4.3,20427449,Relentless,Fantasy,Fantasy,17784,1362,288,2013,2574
1189,Thea Harrison,4.11,9637479,Dragon Bound,Fantasy,Romance,37007,2742,312,January 1st 2011,3217
1204,Robert McCloskey,4.19,133526,Blueberries for Sal,Childrens,Childrens,64009,1194,56,1948,1706
1212,Beatrix Potter,4.03,19336,The Tale of Jemima Puddle-Duck,Childrens,Classics,8652,234,57,1908,1964
1215,Paul Galdone,4.16,789559,The Three Billy Goats Gruff,Childrens,Childrens,13872,296,32,1841,2169
1216,Dick King-Smith,4.07,646195,Babe: The Gallant Pig,Childrens,Fiction,13100,409,130,1983,2263
1218,Tui Allen,4.37,12911577,Ripple,Fantasy,Animals,135,39,211,2011,2559
1220,P.D. Eastman,4.18,197084,Are You My mother?,Childrens,Childrens,194201,2170,64,1960,2587
1226,Else Holmelund Minarik,4.23,201146,Little Bear,Childrens,Childrens,50959,469,64,1957,2931
1227,Tad Williams,3.96,23340,Tailchaser's Song,Fantasy,Fiction,10266,508,364,1985,3006
1228,Janell Cannon,4.23,786256,Stellaluna,Childrens,Childrens,100679,1393,48,1993,3058
1232,Munro Leaf,4.36,773951,The Story of Ferdinand,Childrens,Childrens,80800,1577,72,1936,3753
1234,E.B. White,4.07,24335,The Trumpet of the Swan,Childrens,Classics,62069,1957,252,1970,4408
1240,Robert C. O'Brien,4.14,9822,Mrs. Frisby and the Rats of NIMH,Fantasy,Childrens,154495,3126,240,1971,9293
1242,Margery Williams Bianco,4.29,144974,The Velveteen Rabbit,Childrens,Classics,200601,3071,40,1922,12558
1245,Andrzej Sapkowski,4.21,40603587,The Last Wish,Fantasy,Fiction,81375,4840,384,1993,8660
1246,L.E. Modesitt Jr.,3.85,185253,The Magic of Recluce,Fantasy,Fiction,21187,551,501,April 1991,9484
1257,Gene Wolfe,3.8,60211,The Shadow of the Torturer,Fantasy,Science Fiction,18619,1052,262,1980,18869
1275,Gita Trelease,4.12,36613718,Enchantée,Fantasy,Historical,343,223,459,5th,653
1277,Margaret  Rogerson,4.58,42201395,Sorcery of Thorns,Fantasy,Young Adult,90,90,464,4th,918
1278,Tomi Adeyemi,4.19,39122774,Children of Virtue and Vengeance,Fantasy,Young Adult,125,52,448,4th,973
1279,Mary  Weber,4.21,40556417,To Best the Boys,Fantasy,Young Adult,146,128,352,5th,1035
1280,Amanda Foody,4.68,37545571,King of Fools,Fantasy,Young Adult,25,22,384,30th,1081
1281,Sara Ella,4.89,42772077,Coral,Fantasy,Retellings,9,2,368,10th,1226
1282,Sarah Beth Durst,3.51,23510085,Fire and Heist,Fantasy,Young Adult,1109,351,304,2018,1290
1284,Emily A. Duncan,4.19,36118682,Wicked Saints,Fantasy,Young Adult,376,303,400,2nd,1390
1285,Samantha Shannon,4.4,29774026,The Priory of the Orange Tree,Fantasy,Adult,204,155,848,26th,1485
1287,Elise Kova,4.65,41834793,Vortex Visions,Fantasy,Young Adult,52,39,374,4th,1948
1288,Evelyn Skye,3.62,35553692,Circle of Shadows,Fantasy,Young Adult,145,96,400,2019,2236
1289,Stephanie Garber,4.28,40381392,Finale,Fantasy,Young Adult,122,74,416,7th,2387
1290,Joan He,4.37,36430989,Descendant of the Crane,Fantasy,Young Adult,173,163,416,2nd,2540
1293,Jamie Magee,3.8,9132056,Insight,Fantasy,Fantasy,5488,500,314,2010,1929
1294,Cassandra Rose Clarke,3.69,13533650,The Assassin's Curse,Fantasy,Young Adult,17156,2112,298,October 1st 2012,1947
1295,Michelle Paver,4.16,295305,Wolf Brother,Fantasy,Young Adult,19903,1374,295,January 1st 2004,1958
1297,Mary Hoffman,3.91,86737,City of Masks,Fantasy,Young Adult,14644,597,345,January 1st 2002,2052
1299,Elizabeth Isaacs,3.91,23811471,The Light of Asteria: Kailmeyra's Last Hope,Fantasy,Young Adult,965,110,380,2010,2131
1302,Marianne Curley,4.06,1034516,The Named,Fantasy,Young Adult,7342,462,336,January 1st 2002,2315
1303,R.R. Virdi,4.64,29919027,Grave Measures,Fantasy,Fantasy,985,92,334,2016,2375
1304,Tera Lynn Childs,3.85,6710476,Forgive My Fins,Fantasy,Mythology,16588,1686,293,2010,2387
1305,Trudi Canavan,3.91,7165405,The Ambassador's Mission,Fantasy,Fantasy,16482,532,513,January 1st 2010,2450
1306,Robert Evert,3.93,17339738,Riddle in Stone,Fantasy,Fiction,692,176,382,February 1st 2013,2477
1307,Melissa A. Craven,4.06,40658063,The Awakening,Fantasy,Young Adult,748,231,424,March 31st 2015,2491
1309,Lynn Flewelling,4.08,74270,Luck in the Shadows,Fantasy,Lgbt,16680,977,479,,2693
1310,N.K. Jemisin,4.06,7904453,The Broken Kingdoms,Fantasy,Fiction,17918,1471,384,2010,2763
1313,Juliet Marillier,4.09,6278019,Heart's Blood,Fantasy,Romance,12767,1289,405,2009,2841
