,author_name,book_average_rating,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
7,Mary Roach,3.84,5981308,Bonk: The Curious Coupling of Science and Sex,Nonfiction,Science,45963,4268,319,2008,2054
70,Joanna Chambers,4.34,34969217,Enlightened,Historical,Romance,1747,299,184,2014,6842
138,Tatiana de Rosnay,4.15,556602,Sarah's Key,Historical,Fiction,376397,27783,294,September 2006,23521
148,Mitch Albom,4.09,6900,Tuesdays with Morrie,Nonfiction,Autobiography,671940,21928,210,1997,37739
153,Greg Mortenson,3.64,49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Nonfiction,Autobiography,307246,21963,349,March 2nd 2006,53833
154,Ken Follett,4.3,5043,The Pillars of the Earth,Historical,Fiction,564581,28541,973,October 1989,53864
155,Philippa Gregory,4.05,37470,The Other Boleyn Girl,Historical,Fiction,421981,16343,661,2001,58143
185,Paullina Simons,4.32,41014505,The Bronze Horseman,Historical,Romance,55818,6844,637,2001,23834
210,Jessica Spotswood,4.12,16101026,Star Cursed,Historical,Fantasy,6138,836,384,June 6th 2013,11148
270,Stacey  Lee,3.98,22501055,Under a Painted Sky,Historical,Young Adult,6224,1341,384,2015,5829
409,Laurie Halse Anderson,4.1,3002300,Chains,Historical,Young Adult,41362,4876,316,2008,2125
412,Nicholson Baker,3.98,1948985,"Human Smoke: The Beginnings of World War II, the End of Civilization",History,Nonfiction,1422,265,576,2008,2250
417,Chris Bohjalian,4.0,2017056,Skeletons at the Feast,Historical,Fiction,22350,2330,372,2008,2648
420,Jen Lancaster,4.07,2202049,"Such a Pretty Fat: One Narcissist's Quest to Discover If Her Life Makes Her Ass Look Big, or Why Pie Is Not the Answer",Nonfiction,Womens Fiction,26588,1947,400,May 1st 2008,3109
421,Lily Koppel,3.39,1704570,The Red Leather Diary: Reclaiming a Life Through the Pages of a Lost Journal,Nonfiction,Biography,3060,632,320,2008,3124
425,Alison Weir,3.97,1933181,The Lady Elizabeth,Historical,Historical,22855,1219,483,2008,3619
426,Sloane Crosley,3.45,2195289,I Was Told There'd Be Cake,Nonfiction,Humor,33247,3831,230,2008,3673
431,Kathleen Kent,3.77,3181953,The Heretic's Daughter,Historical,Fiction,30157,3842,332,2008,3914
437,Malcolm Gladwell,4.13,3228917,Outliers: The Story of Success,Nonfiction,Psychology,420533,21703,309,2008,4714
442,Michael Pollan,4.08,315425,In Defense of Food: An Eater's Manifesto,Nonfiction,Food and Drink,93069,7365,205,2002,5682
443,Hillary Jordan,4.02,2138727,Mudbound,Historical,Fiction,57481,5670,328,January 1st 2008,6380
452,Vicki Myron,3.87,3257136,Dewey: The Small-Town Library Cat Who Touched the World,Nonfiction,Animals,46930,5812,277,2008,10497
453,David Benioff,4.29,1971304,City of Thieves,Historical,Fiction,93635,9803,258,2008,10951
457,Geraldine Brooks,4.02,1379961,People of the Book,Historical,Fiction,113111,10632,372,January 1st 2008,23548
461,Randy Pausch,4.26,40611510,The Last Lecture,Nonfiction,Autobiography,272863,16030,206,2008,44412
485,Jeannette Walls,4.26,7445,The Glass Castle,Nonfiction,Autobiography,761058,46916,288,March 2005,4754
530,Brian Selznick,4.24,9673436,The Invention of Hugo Cabret,Historical,Fiction,146623,14118,525,2007,6861
647,Mackenzi Lee,4.15,29283884,The Gentleman's Guide to Vice and Virtue,Historical,Young Adult,49459,10652,513,2017,13834
650,Madeline Miller,4.31,11250317,The Song of Achilles,Historical,Fantasy,104762,14177,352,2011,18511
678,Luis Alberto Urrea,4.17,91289,The Hummingbird's Daughter,Historical,Fiction,9559,1399,528,May 17th 2005,3990
